date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-12-31;C-Tier;Rotti Stream Rumble #6;SpeCial;RotterdaM;3;0;5;C;1
2025-10-19;B-Tier;SC2's Safe House #2 - Playoffs;SpeCial;Astrea;0;4;5;B;0
2025-10-18;B-Tier;SC2's Safe House #2 - Group Stage;SpeCial;MasTeR;2;0;3;B;1
2025-10-18;B-Tier;SC2's Safe House #2 - Group Stage;SpeCial;trigger;0;2;3;B;0
2025-10-18;B-Tier;SC2's Safe House #2 - Group Stage;SpeCial;Dolan;2;0;3;B;1
2025-10-18;B-Tier;SC2's Safe House #2 - Group Stage;SpeCial;Astrea;2;1;3;B;1
2025-10-18;B-Tier;SC2's Safe House #2 - Group Stage;SpeCial;Cham;2;0;3;B;1
2025-10-18;B-Tier;SC2's Safe House #2 - Group Stage;SpeCial;eGGz;2;0;3;B;1
2025-10-18;B-Tier;SC2's Safe House #2 - Group Stage;SpeCial;FoxeR;2;0;3;B;1
2025-10-13;Mon. (B);Code For Giants Cup LATAM #3;SpeCial;eGGz;3;0;5;B;1
2025-10-12;Mon. (B);Code For Giants Cup LATAM #3;SpeCial;MasTeR;2;1;3;B;1
2025-10-12;B-Tier;Patches' TLMC21 Bash #2;SpeCial;ART;0;1;1;B;0
2025-10-12;B-Tier;Patches' TLMC21 Bash #2;SpeCial;SKillous;1;2;3;B;0
2025-10-12;Mon. (B);Code For Giants Cup LATAM #3;SpeCial;KamiKaze;2;0;3;B;1
2025-10-12;B-Tier;Patches' TLMC21 Bash #2;SpeCial;Kinpach;2;0;3;B;1
2025-10-04;Qual. (B);SC2's Safe House #2: Qualifier #1;SpeCial;MasTeR;3;0;5;B;1
2025-10-04;Qual. (B);SC2's Safe House #2: Qualifier #1;SpeCial;FoxeR;2;0;3;B;1
2025-10-04;Qual. (B);SC2's Safe House #2: Qualifier #1;SpeCial;KamiKaze;2;0;3;B;1
2025-10-03;C-Tier;Greenert's Mod Jam Open #1;SpeCial;Mixu;1;3;5;C;0
2025-10-03;C-Tier;Greenert's Mod Jam Open #1;SpeCial;HonMonO;1;0;1;C;1
2025-10-03;C-Tier;Greenert's Mod Jam Open #1;SpeCial;Patches;1;0;1;C;1
2025-10-03;C-Tier;Greenert's Mod Jam Open #1;SpeCial;Tonsi;1;0;1;C;1
