date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-12-30;B-Tier;OSC 2025 MSP #2;Spirit;ByuN;2;3;5;B;0
2025-12-24;Showm. (B);WardiTV Christmas Eve Games;Spirit;MaNa;1;3;5;B;0
2025-12-20;A-Tier;WardiTV 2025 - Championship Bracket;Spirit;Cure;2;3;5;A;0
2025-12-19;Showm. (B);Basilisk Big Brain Bouts #102 - The Basilisk One;Spirit;trigger;1;3;5;B;0
2025-12-19;A-Tier;WardiTV 2025 - Championship Bracket;Spirit;Scarlett;3;0;5;A;1
2025-12-18;A-Tier;WardiTV 2025 - Championship Bracket;Spirit;herO;1;3;5;A;0
2025-12-17;A-Tier;WardiTV 2025 - Championship Bracket;Spirit;ShoWTimE;3;2;5;A;1
2025-12-16;A-Tier;WardiTV 2025 - Championship Bracket;Spirit;Rogue;3;2;5;A;1
2025-12-16;A-Tier;WardiTV 2025 - Championship Bracket;Spirit;YoungYakov;3;1;5;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Spirit;sOs;2;1;3;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Spirit;Gerald;2;0;3;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Spirit;Nicoract;2;1;3;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Spirit;Reynor;1;2;3;A;0
2025-12-07;Week. (B);OSC KotH Weekly #233;Spirit;MaxPax;0;1;1;B;0
2025-11-26;Week. (B);OSC KotH Weekly #232;Spirit;Solar;0;1;1;B;0
2025-11-20;Week. (B);OSC KotH Weekly #231;Spirit;Percival;0;1;1;B;0
2025-11-20;Week. (B);OSC KotH Weekly #231;Spirit;Nicoract;1;0;1;B;1
2025-11-20;Week. (B);OSC KotH Weekly #231;Spirit;ByuN;1;0;1;B;1
2025-11-12;B-Tier;OSC 2025 MSP #2;Spirit;Cure;3;2;5;B;1
2025-11-12;B-Tier;OSC 2025 MSP #2;Spirit;Harstem;3;2;5;B;1
2025-10-31;B-Tier;WardiTV October 2025 - Playoffs;Spirit;ByuN;1;2;3;B;0
2025-10-30;B-Tier;OSC 2025 MSP #2;Spirit;Gerald;3;1;5;B;1
2025-10-29;Week. (B);OSC KotH Weekly #229;Spirit;Creator;1;0;1;B;1
2025-10-29;Week. (B);OSC KotH Weekly #229;Spirit;Iba;1;0;1;B;1
2025-10-29;Week. (B);OSC KotH Weekly #229;Spirit;YoungYakov;1;0;1;B;1
2025-10-29;Week. (B);OSC KotH Weekly #229;Spirit;Nicoract;1;0;1;B;1
2025-10-29;Week. (B);OSC KotH Weekly #229;Spirit;Percival;1;0;1;B;1
