date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;SuperNova;Chance;0;2;3;S;0
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;SuperNova;Super;2;1;3;S;1
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;SuperNova;Hurricane;0;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;SuperNova;RagnaroK;0;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;SuperNova;Chance;2;1;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;SuperNova;Prince;1;2;3;S;0
2020-07-14;Week. (B);OlimoLeague Week #197;SuperNova;Patience;0;2;3;B;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 2;SuperNova;Super;0;2;3;S;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 2;SuperNova;Patience;0;2;3;S;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 2;SuperNova;Bomber;2;1;3;S;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;SuperNova;Patience;0;2;3;S;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;SuperNova;Rookie;2;0;3;S;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;SuperNova;Trap;0;2;3;S;0
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;SuperNova;Patience;0;2;3;S;0
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;SuperNova;Spear;2;0;3;S;1
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;SuperNova;SpeCial;0;2;3;S;0
2020-03-13;Biw. (B);TheBar Star League #1;SuperNova;HerO;0;2;3;B;0
2020-03-13;Biw. (B);TheBar Star League #1;SuperNova;Mamba;2;1;3;B;1
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Chance;SuperNova;2;0;3;S;1
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Super;SuperNova;1;2;3;S;0
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Hurricane;SuperNova;2;0;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;RagnaroK;SuperNova;2;0;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Chance;SuperNova;1;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Prince;SuperNova;2;1;3;S;1
2020-07-14;Week. (B);OlimoLeague Week #197;Patience;SuperNova;2;0;3;B;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 2;Super;SuperNova;2;0;3;S;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 2;Patience;SuperNova;2;0;3;S;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 2;Bomber;SuperNova;1;2;3;S;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;Patience;SuperNova;2;0;3;S;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;Rookie;SuperNova;0;2;3;S;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;Trap;SuperNova;2;0;3;S;1
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;Patience;SuperNova;2;0;3;S;1
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;Spear;SuperNova;0;2;3;S;0
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;SpeCial;SuperNova;2;0;3;S;1
2020-03-13;Biw. (B);TheBar Star League #1;HerO;SuperNova;2;0;3;B;1
2020-03-13;Biw. (B);TheBar Star League #1;Mamba;SuperNova;1;2;3;B;0
