date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-10-14;Week. (B);PiGosaur Cup #53;Tavo;ReBellioN;0;2;3;B;0
2025-05-29;Qual. (S);EWC 2025 Americas Quali - Bracket;Tavo;eGGz;0;2;3;S;0
2025-05-20;C-Tier;LATAM StarCraft 2 League - Group B;Tavo;Agressif;2;0;3;C;1
2025-05-19;C-Tier;LATAM StarCraft 2 League - Playoffs;Tavo;EON;0;2;3;C;0
2025-05-19;C-Tier;LATAM StarCraft 2 League - Group B;Tavo;DarkUnnamed;2;0;3;C;1
2025-05-06;Week. (B);PiGosaur Monday #30;Tavo;ByuN;0;2;3;B;0
2025-04-29;Week. (B);PiGosaur Monday #29;Tavo;Astrea;0;2;3;B;0
2024-09-23;Week. (B);Ursasaurus Cup #3;Tavo;ReBellioN;1;2;3;B;0
2022-03-11;Biw. (C);Copa Hyperion #39;Tavo;TheZergLord;1;2;3;C;0
2022-03-11;Biw. (C);Copa Hyperion #39;Tavo;Alanreyflo;2;0;3;C;1
2021-07-14;Week. (B);eXoN Cup Open #46;Tavo;PAPI;1;2;3;B;0
2025-10-14;Week. (B);PiGosaur Cup #53;ReBellioN;Tavo;2;0;3;B;1
2025-05-29;Qual. (S);EWC 2025 Americas Quali - Bracket;eGGz;Tavo;2;0;3;S;1
2025-05-20;C-Tier;LATAM StarCraft 2 League - Group B;Agressif;Tavo;0;2;3;C;0
2025-05-19;C-Tier;LATAM StarCraft 2 League - Playoffs;EON;Tavo;2;0;3;C;1
2025-05-19;C-Tier;LATAM StarCraft 2 League - Group B;DarkUnnamed;Tavo;0;2;3;C;0
2025-05-06;Week. (B);PiGosaur Monday #30;ByuN;Tavo;2;0;3;B;1
2025-04-29;Week. (B);PiGosaur Monday #29;Astrea;Tavo;2;0;3;B;1
2024-09-23;Week. (B);Ursasaurus Cup #3;ReBellioN;Tavo;2;1;3;B;1
2022-03-11;Biw. (C);Copa Hyperion #39;TheZergLord;Tavo;2;1;3;C;1
2022-03-11;Biw. (C);Copa Hyperion #39;Alanreyflo;Tavo;0;2;3;C;0
2021-07-14;Week. (B);eXoN Cup Open #46;PAPI;Tavo;2;1;3;B;1
