date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2020-12-29;B-Tier;GG of the Year 2020 - Playoffs;Vanya;souL;0;3;5;B;0
2020-12-27;B-Tier;GG of the Year 2020 - Group C;Vanya;KingCobra;2;0;3;B;1
2020-12-27;B-Tier;GG of the Year 2020 - Group C;Vanya;Kas;2;1;3;B;1
2020-12-27;Mon. (B);King of CIS: December 2020;Vanya;Bly;1;0;1;B;1
2020-12-27;Mon. (B);King of CIS: December 2020;Vanya;Couguar;1;0;1;B;1
2020-12-26;B-Tier;Free TON League #2 - Playoffs;Vanya;EnigmA;1;3;5;B;0
2020-12-25;B-Tier;Free TON League #2 - Playoffs;Vanya;DIMAGA;3;0;5;B;1
2020-12-23;B-Tier;Bald Guy Classic #9;Vanya;SKillous;2;3;5;B;0
2020-12-23;B-Tier;Bald Guy Classic #9;Vanya;TeebuL;0;3;5;B;0
2020-12-23;B-Tier;Genesis Legends Cup #1 - Group A;Vanya;souL;0;2;3;B;0
2020-12-23;B-Tier;Genesis Legends Cup #1 - Group A;Vanya;YoungYakov;2;0;3;B;1
2020-12-23;B-Tier;Genesis Legends Cup #1 - Group A;Vanya;Bly;1;2;3;B;0
2020-12-23;B-Tier;Genesis Legends Cup #1 - Group A;Vanya;MaxPax;0;2;3;B;0
2020-12-22;Showm. (B);Alpha Pro Series: 2020 Show Matches - Standard;Vanya;MaSa;4;2;5;B;1
2020-12-22;B-Tier;Bald Guy Classic #9;Vanya;goblin;2;1;3;B;1
2020-12-21;Week. (B);ESL Open Cup #50 Europe;Vanya;souL;1;2;3;B;0
2020-12-21;Week. (B);ESL Open Cup #50 Europe;Vanya;Moja;2;1;3;B;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;Vanya;MysticMuse;0;1;1;C;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;Vanya;XaReS;2;0;3;C;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;Vanya;JEROS;1;0;1;C;1
2020-12-18;B-Tier;OSC 2020 Super Series, Mid Season Playoffs #3;Vanya;Gerald;0;3;5;B;0
2020-12-17;Qual. (S);DH Masters: Last Chance 2021 AM - Bracket;Vanya;Gerald;1;2;3;S;0
2020-12-15;Qual. (S);DH Masters: Last Chance 2021 EU - Bracket;Vanya;Hellraiser;0;1;1;S;0
2020-12-15;Qual. (S);DH Masters: Last Chance 2021 EU - Bracket;Vanya;HeRoMaRinE;1;2;3;S;0
2020-12-15;Qual. (S);DH Masters: Last Chance 2021 EU - Bracket;Vanya;ShoWTimE;2;0;3;S;1
2020-12-15;B-Tier;Free TON League #2 - Group D;Vanya;Brat_OK;2;0;3;B;1
2020-12-15;B-Tier;Free TON League #2 - Group D;Vanya;Moja;2;0;3;B;1
2020-12-14;Week. (B);ESL Open Cup #49 Europe;Vanya;souL;0;2;3;B;0
2020-12-14;Week. (B);ESL Open Cup #49 Europe;Vanya;HolyHit;2;0;3;B;1
2020-12-13;B-Tier;Moscow Cybersport Season 2: Supreme Series S1 - Group Stage #2 (Ro16);Vanya;KingCobra;1;2;3;B;0
2020-12-13;B-Tier;Moscow Cybersport Season 2: Supreme Series S1 - Group Stage #2 (Ro16);Vanya;Moja;0;2;3;B;0
2020-12-11;Qual. (S);DH Masters: Last Chance 2021 EU - Bracket;Vanya;Krystianer;3;1;5;S;1
2020-12-11;Qual. (S);DH Masters: Last Chance 2021 EU - Bracket;Vanya;kiyj;2;0;3;S;1
2020-12-09;B-Tier;Alpha X Rumble #3 - Group A;Vanya;Gerald;1;2;3;B;0
2020-12-09;B-Tier;Alpha X Rumble #3 - Group A;Vanya;SortOf;2;1;3;B;1
2020-12-09;B-Tier;Alpha X Rumble #3 - Group A;Vanya;goblin;1;2;3;B;0
2020-12-09;B-Tier;Alpha X Rumble #3 - Group A;Vanya;souL;1;2;3;B;0
2020-12-09;B-Tier;OSC 2020 Super Series, Mid Season Playoffs #3;Vanya;MaxPax;1;2;3;B;0
