date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-02-05;Week. (B);ESL Open Cup #213 Americas;WhiteIdra;DisReSpeCT;0;2;3;B;0
2023-05-01;Week. (B);ESL Open Cup #173 Americas;WhiteIdra;PiG;0;2;3;B;0
2023-04-30;Biw. (C);Tenacious Turtle Tussle #2;WhiteIdra;Vindicta;0;1;1;C;0
2023-04-30;Biw. (C);Tenacious Turtle Tussle #2;WhiteIdra;Pacomike;0;2;3;C;0
2023-04-23;Week. (B);ESL Open Cup #172 Korea;WhiteIdra;herO;0;2;3;B;0
2023-04-08;Qual. (A);ESL Summer: Americas Qualifiers - Bracket;WhiteIdra;Ryu;0;2;3;A;0
2023-03-20;Week. (B);ESL Open Cup #167 Americas;WhiteIdra;MaxPax;0;2;3;B;0
2023-03-06;Week. (B);ESL Open Cup #165 Americas;WhiteIdra;ByuN;0;2;3;B;0
2022-11-25;Qual. (S);HSC XXII: LatAm;WhiteIdra;eGGz;0;2;3;S;0
2022-11-26;Qual. (S);HSC XXII: LatAm;WhiteIdra;TheZergLord;1;2;3;S;0
2022-11-21;Week. (B);ESL Open Cup #150 Americas;WhiteIdra;Silky;1;2;3;B;0
2022-11-14;Week. (B);ESL Open Cup #149 Americas;WhiteIdra;Vindicta;1;2;3;B;0
2022-10-24;Week. (B);ESL Open Cup #146 Americas;WhiteIdra;Rex;0;2;3;B;0
2022-10-17;Week. (B);ESL Open Cup #145 Americas;WhiteIdra;Dark;0;2;3;B;0
2022-10-14;Biw. (C);Sentimiento Latino #140;WhiteIdra;eGGz;0;1;1;C;0
2022-10-14;Biw. (C);Sentimiento Latino #140;WhiteIdra;EON;1;0;1;C;1
2022-10-14;Biw. (C);Sentimiento Latino #140;WhiteIdra;Ryu;0;2;3;C;0
2022-10-10;Week. (B);ESL Open Cup #144 Europe;WhiteIdra;Reynor;0;2;3;B;0
2022-10-03;Week. (B);ESL Open Cup #143 Americas;WhiteIdra;MaxPax;0;2;3;B;0
2022-10-03;Week. (B);ESL Open Cup #143 Americas;WhiteIdra;Neuro;2;1;3;B;1
2022-09-30;Biw. (C);Sentimiento Latino #139;WhiteIdra;Ryu;0;1;1;C;0
2022-09-26;Week. (B);ESL Open Cup #142 Americas;WhiteIdra;MaxPax;0;2;3;B;0
2022-09-26;Week. (B);ESL Open Cup #142 Americas;WhiteIdra;Syrril;2;0;3;B;1
2022-09-14;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;WhiteIdra;Pacomike;0;2;3;A;0
2022-09-12;Week. (B);ESL Open Cup #140 Europe;WhiteIdra;ShaDoWn;0;2;3;B;0
2022-09-05;Week. (B);ESL Open Cup #139 Americas;WhiteIdra;Maplez;0;2;3;B;0
2022-08-15;Week. (B);ESL Open Cup #136 Americas;WhiteIdra;NightMare;0;2;3;B;0
2022-08-05;Biw. (C);Sentimiento Latino #136;WhiteIdra;TheZergLord;0;2;3;C;0
2022-07-10;Qual. (S);TSL 9: LA Qualifier;WhiteIdra;mantega;0;2;3;S;0
2022-07-10;Qual. (S);TSL 9: LA Qualifier;WhiteIdra;FATE;2;0;3;S;1
2022-07-10;Qual. (S);TSL 9: LA Qualifier;WhiteIdra;NeosShaggy;2;0;3;S;1
2022-07-10;Qual. (S);TSL 9: LA Qualifier;WhiteIdra;Loki;1;2;3;S;0
2022-07-08;Biw. (C);Sentimiento Latino #134;WhiteIdra;MasTeR;0;2;3;C;0
2022-06-27;Week. (B);ESL Open Cup #129 Americas;WhiteIdra;GuMiho;0;2;3;B;0
2022-06-25;Biw. (C);Sentimiento Latino #133;WhiteIdra;TheZergLord;0;1;1;C;0
2022-06-20;Week. (B);ESL Open Cup #128 Americas;WhiteIdra;Scarlett;0;2;3;B;0
2022-06-17;Biw. (C);Copa Hyperion #44;WhiteIdra;Tiratuga;0;1;1;C;0
2022-06-17;Biw. (C);Copa Hyperion #44;WhiteIdra;TheZergLord;0;2;3;C;0
2022-06-13;Week. (B);ESL Open Cup #127 Americas;WhiteIdra;DisK;0;2;3;B;0
2022-06-11;Biw. (C);Sentimiento Latino #132;WhiteIdra;JimRising;0;2;3;C;0
2022-06-11;Biw. (C);Sentimiento Latino #132;WhiteIdra;Grandjyn;2;0;3;C;1
2022-06-08;Qual. (S);HSC XXI: Latin America Qualifier;WhiteIdra;kaozfate;0;2;3;S;0
2022-06-08;Qual. (S);HSC XXI: Latin America Qualifier;WhiteIdra;Elegacy;2;0;3;S;1
2022-06-08;Qual. (S);HSC XXI: Latin America Qualifier;WhiteIdra;tavo;1;2;3;S;0
2022-06-08;Qual. (S);HSC XXI: Latin America Qualifier;WhiteIdra;EON;2;0;3;S;1
2022-06-08;Qual. (S);HSC XXI: Latin America Qualifier;WhiteIdra;EON;2;1;3;S;1
2022-05-27;Biw. (C);Sentimiento Latino #131;WhiteIdra;MasTeR;0;2;3;C;0
2022-05-23;Week. (B);ESL Open Cup #124 Americas;WhiteIdra;Neuro;0;2;3;B;0
2022-05-04;Qual. (A);DHM Valencia: LA Qualifiers - Bracket;WhiteIdra;Draconix;1;2;3;A;0
2022-04-29;Biw. (C);Sentimiento Latino #129;WhiteIdra;TheZergLord;0;2;3;C;0
2022-04-22;Biw. (C);Copa Hyperion #42;WhiteIdra;manteguinha;1;2;3;C;0
2022-04-01;Biw. (C);Sentimiento Latino #127;WhiteIdra;Tiratuga;0;2;3;C;0
2022-03-25;Biw. (C);Copa Hyperion #40;WhiteIdra;tavo;0;2;3;C;0
2022-03-21;Week. (B);ESL Open Cup #115 Americas;WhiteIdra;ForJumy;0;2;3;B;0
2022-03-04;Biw. (C);Sentimiento Latino #125;WhiteIdra;Nishenko;0;2;3;C;0
2022-02-25;Biw. (C);Copa Hyperion #38;WhiteIdra;Pacomike;0;2;3;C;0
2022-02-04;Biw. (C);Sentimiento Latino #123;WhiteIdra;XionS;0;2;3;C;0
2021-12-17;Biw. (C);Copa Hyperion #34;WhiteIdra;NeosShaggy;0;2;3;C;0
2021-12-17;Biw. (C);Copa Hyperion #34;WhiteIdra;Faesbuca;1;0;1;C;1
2021-12-17;Biw. (C);Copa Hyperion #34;WhiteIdra;Cham;0;2;3;C;0
2021-12-17;Biw. (C);Copa Hyperion #34;WhiteIdra;Everness;2;1;3;C;1
2021-12-10;Biw. (C);Sentimiento Latino #121;WhiteIdra;TheZergLord;0;1;1;C;0
2021-12-10;Biw. (C);Sentimiento Latino #121;WhiteIdra;nanO;0;2;3;C;0
2021-12-10;Biw. (C);Sentimiento Latino #121;WhiteIdra;SlayersMvP;2;1;3;C;1
2021-11-12;Biw. (C);Sentimiento Latino #120;WhiteIdra;RyoGin;0;2;3;C;0
2021-10-29;Biw. (C);Sentimiento Latino #119;WhiteIdra;INFANSON;1;2;3;C;0
2021-10-29;Biw. (C);Sentimiento Latino #119;WhiteIdra;AreZ;1;0;1;C;1
2021-10-29;Biw. (C);Sentimiento Latino #119;WhiteIdra;Accelerator;1;0;1;C;1
2021-10-29;Biw. (C);Sentimiento Latino #119;WhiteIdra;XionS;0;2;3;C;0
2021-10-24;C-Tier;Legion Cup 2021: Summer NA Knockout Bracket;WhiteIdra;acheron;1;2;3;C;0
2021-10-24;C-Tier;Legion Cup 2021: Summer NA Knockout Bracket;WhiteIdra;BYE;1;0;1;C;1
2021-10-23;Week. (C);Battle of the Americas #72;WhiteIdra;chorocarlo;1;2;3;C;0
2021-10-10;C-Tier;Legion Cup 2021: Summer NA - Group E;WhiteIdra;SabeRLighT;0;2;3;C;0
2021-10-10;C-Tier;Legion Cup 2021: Summer NA - Group E;WhiteIdra;Probe;1;2;3;C;0
2021-10-10;C-Tier;Legion Cup 2021: Summer NA - Group E;WhiteIdra;Kyboi;1;2;3;C;0
2021-10-09;C-Tier;Legion Cup 2021: Summer NA Qualifiers - Bracket;WhiteIdra;Cognite;3;1;5;C;1
2021-10-02;Week. (C);Battle of the Americas #69;WhiteIdra;Meowerdoom;0;2;3;C;0
2021-10-01;Biw. (C);Sentimiento Latino #117;WhiteIdra;JimRising;0;2;3;C;0
2021-10-01;Biw. (C);Sentimiento Latino #117;WhiteIdra;Romsly;2;0;3;C;1
2021-09-27;C-Tier;PSISTORM StarCraft Open #8;WhiteIdra;NeosShaggy;0;2;3;C;0
2021-09-24;Qual. (A);DHM Winter: LatAm Qualifiers - Bracket;WhiteIdra;KoyaTeck;1;2;3;A;0
2021-09-22;Qual. (A);DHM Winter: LatAm Qualifiers - Bracket;WhiteIdra;eGGz;0;2;3;A;0
2021-09-20;C-Tier;PSISTORM StarCraft Open #6;WhiteIdra;mainYasu;0;2;3;C;0
2021-09-18;Week. (C);Battle of the Americas #68;WhiteIdra;Rhizer;0;2;3;C;0
2021-09-17;Biw. (C);Sentimiento Latino #116;WhiteIdra;tavo;0;2;3;C;0
2021-09-13;Week. (B);ESL Open Cup #88 Americas;WhiteIdra;Astrea;0;2;3;B;0
2021-09-11;Week. (C);Battle of the Americas #67;WhiteIdra;chorocarlo;1;2;3;C;0
2021-09-11;Week. (C);Battle of the Americas #67;WhiteIdra;kazmir;1;0;1;C;1
2021-09-11;Week. (C);Battle of the Americas #67;WhiteIdra;Prometheus;1;0;1;C;1
2021-09-11;Week. (C);Battle of the Americas #67;WhiteIdra;Erik;0;2;3;C;0
2021-08-20;Biw. (C);Sentimiento Latino #114;WhiteIdra;Ryu;0;1;1;C;0
2021-08-20;Biw. (C);Sentimiento Latino #114;WhiteIdra;Kche;2;0;3;C;1
2021-08-14;Week. (C);Battle of the Americas #65;WhiteIdra;Cham;0;2;3;C;0
2021-08-13;Biw. (C);Copa Hyperion #26;WhiteIdra;JimRising;0;1;1;C;0
2021-08-13;Biw. (C);Copa Hyperion #26;WhiteIdra;SabeRLighT;2;1;3;C;1
2021-08-11;Week. (B);eXoN Cup Open #49;WhiteIdra;TriGGeR;0;1;1;B;0
2021-08-09;Week. (B);ESL Open Cup #83 Americas;WhiteIdra;Has;0;2;3;B;0
2021-08-07;Week. (C);Battle of the Americas #64;WhiteIdra;XionS;0;1;1;C;0
2021-08-07;Week. (C);Battle of the Americas #64;WhiteIdra;NeO;0;2;3;C;0
2021-08-06;Biw. (C);Sentimiento Latino #113;WhiteIdra;JimRising;0;2;3;C;0
2021-07-30;Biw. (C);Copa Hyperion #25;WhiteIdra;Everness;0;2;3;C;0
2021-07-28;Week. (B);eXoN Cup Open #48;WhiteIdra;Pacomike;0;2;3;B;0
2021-07-17;Week. (C);Battle of the Americas #62;WhiteIdra;PattyMac;1;2;3;C;0
2021-07-17;Week. (C);Battle of the Americas #62;WhiteIdra;BYE;1;0;1;C;1
2021-07-16;Biw. (C);Copa Hyperion #24;WhiteIdra;XionS;0;2;3;C;0
2021-07-09;B-Tier;Legion Cup by Lenovo;WhiteIdra;sUb;1;2;3;B;0
2021-07-08;B-Tier;Legion Cup by Lenovo;WhiteIdra;CulpaCopiosa;2;0;3;B;1
2021-07-03;Week. (C);Battle of the Americas #60;WhiteIdra;Bioice;0;2;3;C;0
2021-07-02;Biw. (C);Copa Hyperion #23;WhiteIdra;XionS;1;2;3;C;0
2021-06-30;Week. (B);eXoN Cup Open #44;WhiteIdra;JimRising;0;2;3;B;0
2021-06-30;Week. (B);eXoN Cup Open #44;WhiteIdra;BYE;1;0;1;B;1
2021-06-28;Week. (B);ESL Open Cup #77 Americas;WhiteIdra;Nina;0;2;3;B;0
2021-06-26;B-Tier;Nina's Sub Tournament #1;WhiteIdra;Melody;0;2;3;B;0
2021-06-26;B-Tier;Nina's Sub Tournament #1;WhiteIdra;Alexius;1;0;1;B;1
2021-06-20;Week. (B);ESL Open Cup #76 Korea;WhiteIdra;ButAlways;0;2;3;B;0
2021-06-14;Week. (B);ESL Open Cup #75 Americas;WhiteIdra;Has;0;2;3;B;0
2021-06-06;Week. (B);ESL Open Cup #74 Korea;WhiteIdra;MysteryMan;0;2;3;B;0
2021-06-05;Week. (C);Battle of the Americas #56;WhiteIdra;Shellbee;0;2;3;C;0
2021-06-04;Biw. (C);Copa Hyperion #21;WhiteIdra;tavo;0;2;3;C;0
2021-05-30;Week. (C);The Pizza Pie: Weekly #6;WhiteIdra;TriGGeR;0;2;3;C;0
2021-05-29;Week. (C);Battle of the Americas #55;WhiteIdra;Shellbee;0;2;3;C;0
2021-05-23;Week. (B);ESL Open Cup #72 Korea;WhiteIdra;MacSed;0;2;3;B;0
2021-05-23;Week. (C);The Pizza Pie: Weekly #5;WhiteIdra;Exostriker;0;2;3;C;0
2021-05-22;Week. (C);Battle of the Americas #54;WhiteIdra;Nina;0;2;3;C;0
2021-05-21;Biw. (C);Copa Hyperion #20;WhiteIdra;SabeRLighT;0;2;3;C;0
2021-05-19;Week. (B);eXoN Cup Open #38;WhiteIdra;JimRising;1;2;3;B;0
2021-05-19;Week. (B);eXoN Cup Open #38;WhiteIdra;ZAWGURN;2;0;3;B;1
2021-05-17;Week. (B);ESL Open Cup #71 Americas;WhiteIdra;JimRising;0;2;3;B;0
2021-05-14;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;WhiteIdra;Shellbee;0;2;3;A;0
2021-05-14;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;WhiteIdra;Valhalla;1;0;1;A;1
2021-05-10;Week. (B);ESL Open Cup #70 Americas;WhiteIdra;Armani;0;2;3;B;0
2021-04-30;Biw. (C);Sentimiento Latino #108;WhiteIdra;NeosShaggy;0;2;3;C;0
2021-04-29;Qual. (S);NeXT 2021 Spring: AM - Bracket;WhiteIdra;Asuna;0;2;3;S;0
2021-04-26;Week. (B);ESL Open Cup #68 Americas;WhiteIdra;Armani;0;2;3;B;0
2021-04-23;Biw. (C);Copa Hyperion #18;WhiteIdra;KamiKaze;1;2;3;C;0
2021-04-22;Qual. (S);NeXT 2021 Spring: AM - Bracket;WhiteIdra;Zest;0;2;3;S;0
2021-04-17;Week. (C);Battle of the Americas #51;WhiteIdra;Cham;0;2;3;C;0
2021-04-17;Week. (C);Battle of the Americas #51;WhiteIdra;Elegacy;2;0;3;C;1
2021-04-14;Week. (B);eXoN Cup Open #34;WhiteIdra;Vanya;0;2;3;B;0
2021-04-10;Week. (C);Battle of the Americas #50;WhiteIdra;Nina;0;2;3;C;0
2021-04-10;Week. (C);Battle of the Americas #50;WhiteIdra;Kido;2;0;3;C;1
2021-03-26;Biw. (C);Copa Hyperion #16;WhiteIdra;Pacomike;0;1;1;C;0
2021-03-19;Biw. (C);Sentimiento Latino #105;WhiteIdra;tavo;0;2;3;C;0
2021-03-12;Biw. (C);Copa Hyperion #15;WhiteIdra;NeO;0;1;1;C;0
2021-03-12;Biw. (C);Copa Hyperion #15;WhiteIdra;Maximo;2;1;3;C;1
2021-03-05;Biw. (C);Sentimiento Latino #104;WhiteIdra;Pacomike;0;2;3;C;0
2021-02-20;Week. (C);Battle of the Americas #45;WhiteIdra;Marea;0;2;3;C;0
2021-01-30;Week. (C);Battle of the Americas #42;WhiteIdra;MakroMaraude;0;2;3;C;0
2021-01-30;Week. (C);Battle of the Americas #42;WhiteIdra;BYE;1;0;1;C;1
2021-01-29;Biw. (C);Copa Hyperion #12;WhiteIdra;Faesbuca;1;2;3;C;0
2021-01-22;Biw. (C);Sentimiento Latino #101;WhiteIdra;JimRising;0;2;3;C;0
2021-01-15;Biw. (C);Copa Hyperion #11;WhiteIdra;InMoLaTioNs;0;2;3;C;0
2021-01-15;Biw. (C);Copa Hyperion #11;WhiteIdra;Faesbuca;2;1;3;C;1
2020-12-19;Week. (C);Battle of the Americas #41;WhiteIdra;Vindicta;0;2;3;C;0
2020-12-18;Biw. (B);Sentimiento Latino #100;WhiteIdra;JimRising;0;2;3;B;0
2020-12-18;Biw. (B);Sentimiento Latino #100;WhiteIdra;Arrow;2;0;3;B;1
2020-12-11;Biw. (C);Copa Hyperion #10;WhiteIdra;Sinner;0;2;3;C;0
