date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-12-22;B-Tier;iMKS CHAMPIONS 2025 - Playoffs;XionS;Nalguz;4;0;5;B;1
2025-12-01;B-Tier;iMKS CHAMPIONS 2025 - Playoffs;XionS;Havertz;3;1;5;B;1
2025-12-01;B-Tier;iMKS CHAMPIONS 2025 - Playoffs;XionS;Kevin;2;0;3;B;1
2025-12-01;B-Tier;iMKS CHAMPIONS 2025 - Group B;XionS;Themike;2;0;3;B;1
2025-12-01;B-Tier;iMKS CHAMPIONS 2025 - Group B;XionS;Gouketsu;2;0;3;B;1
2025-12-01;B-Tier;iMKS CHAMPIONS 2025 - Group B;XionS;Cronopio;2;0;3;B;1
2025-09-15;Qual. (B);iMKS CHAMPIONS 2025 - Otoño;XionS;Nalguz;3;1;5;B;1
2025-09-15;Qual. (B);iMKS CHAMPIONS 2025 - Otoño;XionS;Themike;2;0;3;B;1
2025-09-15;Qual. (B);iMKS CHAMPIONS 2025 - Otoño;XionS;Nalguz;1;2;3;B;0
2025-09-15;Qual. (B);iMKS CHAMPIONS 2025 - Otoño;XionS;Boreau;2;0;3;B;1
2025-09-15;Qual. (B);iMKS CHAMPIONS 2025 - Otoño;XionS;Rider;2;0;3;B;1
2025-09-15;Qual. (B);iMKS CHAMPIONS 2025 - Otoño;XionS;Cronopio;2;0;3;B;1
2025-08-11;B-Tier;LittleMac Master League: Season 10 -;XionS;Patches;2;0;3;B;1
2025-08-11;B-Tier;LittleMac Master League: Season 10 -;XionS;GipsyDanger;2;0;3;B;1
2025-07-16;B-Tier;LittleMac Master League: Season 10 -;XionS;Draconix;0;1;1;B;0
2025-07-16;B-Tier;LittleMac Master League: Season 10 -;XionS;INexorable;0;2;3;B;0
2025-03-03;B-Tier;Hispanic StarCraft 2 League - Playoffs;XionS;eGGz;1;2;3;B;0
2025-03-03;B-Tier;Hispanic StarCraft 2 League - Group C;XionS;Cham;0;3;5;B;0
2025-03-03;B-Tier;Hispanic StarCraft 2 League - Group C;XionS;Temmie;3;0;5;B;1
2025-03-03;B-Tier;Hispanic StarCraft 2 League - Group C;XionS;boreau;2;1;3;B;1
2025-03-03;B-Tier;Hispanic StarCraft 2 League - Group C;XionS;Ares;2;1;3;B;1
2023-10-27;B-Tier;Be-Gamer Cup #3;XionS;MasTeR;0;1;1;B;0
2022-12-09;Biw. (C);Sentimiento Latino #142;XionS;Pacomike;0;1;1;C;0
2022-12-09;Biw. (C);Sentimiento Latino #142;XionS;TheZergLord;1;2;3;C;0
2022-12-09;Biw. (C);Sentimiento Latino #142;XionS;EON;2;0;3;C;1
2022-09-02;Biw. (C);Sentimiento Latino #138;XionS;kaozfate;0;3;5;C;0
2022-09-02;Biw. (C);Sentimiento Latino #138;XionS;TheZergLord;2;0;3;C;1
2022-09-02;Biw. (C);Sentimiento Latino #138;XionS;EON;2;0;3;C;1
2022-09-02;Biw. (C);Sentimiento Latino #138;XionS;Pacomike;2;0;3;C;1
2022-08-26;Biw. (C);Copa Hyperion #49;XionS;Pacomike;0;2;3;C;0
2022-08-24;Week. (C);PSISTORM Open Cup #42;XionS;HonMonO;0;2;3;C;0
2022-08-12;Biw. (C);Copa Hyperion #48;XionS;Sinner;0;1;1;C;0
2022-08-12;Biw. (C);Copa Hyperion #48;XionS;JimRising;1;2;3;C;0
2022-08-05;Biw. (C);Sentimiento Latino #136;XionS;MasTeR;0;1;1;C;0
2022-08-05;Biw. (C);Sentimiento Latino #136;XionS;XaviiH;2;0;3;C;1
2022-08-05;Biw. (C);Sentimiento Latino #136;XionS;DTWB;2;0;3;C;1
2022-07-15;Biw. (C);Copa Hyperion #46;XionS;TheZergLord;0;3;5;C;0
2022-07-15;Biw. (C);Copa Hyperion #46;XionS;Pacomike;2;1;3;C;1
2022-07-15;Biw. (C);Copa Hyperion #46;XionS;EON;2;1;3;C;1
2022-07-15;Biw. (C);Copa Hyperion #46;XionS;Kaluz;1;0;1;C;1
2022-07-15;Biw. (C);Copa Hyperion #46;XionS;Pacomike;0;2;3;C;0
2022-07-15;Biw. (C);Copa Hyperion #46;XionS;mantega;1;0;1;C;1
2022-07-08;Biw. (C);Sentimiento Latino #134;XionS;JimRising;1;2;3;C;0
2022-07-08;Biw. (C);Sentimiento Latino #134;XionS;Brenden;2;0;3;C;1
2022-07-01;Biw. (C);Copa Hyperion #45;XionS;Pacomike;0;2;3;C;0
2022-05-06;Qual. (A);DHM Valencia: LA Qualifiers - Bracket;XionS;eGGz;2;3;5;A;0
2022-05-06;Qual. (A);DHM Valencia: LA Qualifiers - Bracket;XionS;INFANSON;2;1;3;A;1
2022-05-06;Qual. (A);DHM Valencia: LA Qualifiers - Bracket;XionS;faesbuca;2;1;3;A;1
2022-05-04;Qual. (A);DHM Valencia: LA Qualifiers - Bracket;XionS;kaozfate;0;3;5;A;0
2022-05-04;Qual. (A);DHM Valencia: LA Qualifiers - Bracket;XionS;Draconix;2;1;3;A;1
2022-05-04;Qual. (A);DHM Valencia: LA Qualifiers - Bracket;XionS;Vitorino;2;0;3;A;1
2022-04-15;Biw. (C);Sentimiento Latino #128;XionS;AreZ;0;0;1;C;0
2022-03-25;Biw. (C);Copa Hyperion #40;XionS;JimRising;0;2;3;C;0
2022-03-11;Biw. (C);Copa Hyperion #39;XionS;Ryu;0;2;3;C;0
2022-03-11;Biw. (C);Copa Hyperion #39;XionS;HeavenSDevil;2;0;3;C;1
2022-02-25;Biw. (C);Copa Hyperion #38;XionS;Ryu;0;2;3;C;0
2022-02-18;Biw. (C);Sentimiento Latino #124;XionS;TheZergLord;0;2;3;C;0
2022-02-04;Biw. (C);Sentimiento Latino #123;XionS;Pacomike;0;2;3;C;0
2022-02-04;Biw. (C);Sentimiento Latino #123;XionS;WhiteIdra;2;0;3;C;1
2022-01-21;Biw. (C);Sentimiento Latino #122;XionS;Ryu;0;2;3;C;0
2022-01-21;Biw. (C);Sentimiento Latino #122;XionS;KoyaTeck;1;0;1;C;1
2021-11-19;Biw. (C);Copa Hyperion #32;XionS;Ryu;0;2;3;C;0
2021-11-19;Biw. (C);Copa Hyperion #32;XionS;SabeRLighT;1;0;1;C;1
2021-11-19;Biw. (C);Copa Hyperion #32;XionS;TheZergLord;1;2;3;C;0
2021-11-19;Biw. (C);Copa Hyperion #32;XionS;Alzales;2;0;3;C;1
2021-11-12;Biw. (C);Sentimiento Latino #120;XionS;TheZergLord;1;2;3;C;0
2021-11-12;Biw. (C);Sentimiento Latino #120;XionS;tavo;2;1;3;C;1
2021-11-12;Biw. (C);Sentimiento Latino #120;XionS;Faesbuca;2;1;3;C;1
2021-11-07;Week. (C);Battle of the Americas #74;XionS;Rhizer;0;2;3;C;0
2021-11-07;Week. (C);Battle of the Americas #74;XionS;INFANSON;1;0;1;C;1
2021-11-07;Week. (C);Battle of the Americas #74;XionS;Cham;0;1;1;C;0
2021-11-07;Week. (C);Battle of the Americas #74;XionS;kazmir;2;0;3;C;1
