date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-16;A-Tier;OSC Championship Season 13 - Championship Bracket;YoungYakov;BabyMarine;3;0;5;A;1
2026-01-14;B-Tier;WardiTV Cup - Group C;YoungYakov;GuMiho;1;2;3;B;0
2026-01-14;B-Tier;WardiTV Cup - Group C;YoungYakov;Creator;1;2;3;B;0
2026-01-14;B-Tier;WardiTV Cup - Group C;YoungYakov;Shameless;2;1;3;B;1
2026-01-13;Week. (B);PiGosaur Cup #64;YoungYakov;Percival;0;2;3;B;0
2026-01-13;Qual. (S);Rongyi Cup S3: Qualifier #3;YoungYakov;ShoWTimE;0;2;3;S;0
2026-01-13;Week. (B);PiGosaur Cup #64;YoungYakov;Ateshi;2;0;3;B;1
2026-01-13;Qual. (S);Rongyi Cup S3: Qualifier #3;YoungYakov;GuMiho;2;1;3;S;1
2026-01-12;Week. (B);Monday Night Weeklies #36;YoungYakov;herO;0;1;1;B;0
2026-01-12;Week. (B);Monday Night Weeklies #36;YoungYakov;Clem;1;0;1;B;1
2026-01-12;Week. (B);Monday Night Weeklies #36;YoungYakov;Bunny;1;0;1;B;1
2026-01-12;Week. (B);Monday Night Weeklies #36;YoungYakov;Fjant;1;0;1;B;1
2026-01-12;Week. (B);Monday Night Weeklies #36;YoungYakov;MaxPax;0;2;3;B;0
2026-01-12;Week. (B);Monday Night Weeklies #36;YoungYakov;trigger;2;1;3;B;1
2026-01-12;Qual. (S);Rongyi Cup S3: Qualifier #2;YoungYakov;MaNa;1;2;3;S;0
2026-01-12;Week. (B);WardiTV Mondays #69;YoungYakov;Clem;1;2;3;B;0
2026-01-11;Qual. (S);Rongyi Cup S3: Qualifier #1;YoungYakov;Creator;0;2;3;S;0
2026-01-11;Qual. (S);Rongyi Cup S3: Qualifier #1;YoungYakov;Percival;2;1;3;S;1
2026-01-10;Qual. (B);WardiTV Winter Cup Qual;YoungYakov;herO;0;2;3;B;0
2026-01-06;A-Tier;OSC Championship Season 13 - Championship Bracket;YoungYakov;Gerald;1;3;5;A;0
2026-01-06;Week. (B);PiGosaur Cup #63;YoungYakov;herO;0;2;3;B;0
2026-01-06;Week. (B);PiGosaur Cup #63;YoungYakov;Creator;2;0;3;B;1
