date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-06-19;Showm. (B);ITaX Super Series #84;Zest;ByuN;0;3;5;B;0
2022-06-19;Week. (B);ESL Open Cup #128 Korea;Zest;Jieshi;0;2;3;B;0
2022-06-18;B-Tier;Afreeca World 96;Zest;soO;0;3;5;B;0
2022-06-09;S-Tier;2022 GSL S2: Code S - GS 1 Group B;Zest;ByuN;0;2;3;S;0
2022-06-09;S-Tier;2022 GSL S2: Code S - GS 1 Group B;Zest;soO;1;2;3;S;0
2022-06-05;Week. (B);ESL Open Cup #126 Korea;Zest;ByuN;1;2;3;B;0
2022-06-05;Week. (B);ESL Open Cup #126 Korea;Zest;Percival;2;1;3;B;1
2022-06-05;Week. (B);ESL Open Cup #126 Korea;Zest;Rex;2;0;3;B;1
2022-06-05;Week. (B);ESL Open Cup #126 Korea;Zest;RasK;2;0;3;B;1
2022-06-04;B-Tier;Afreeca World 95;Zest;KeeN;4;1;5;B;1
2022-06-04;B-Tier;Afreeca World 95;Zest;Solar;3;1;5;B;1
2022-05-26;Showm. (B);ITaX Super Series #80;Zest;soO;3;1;5;B;1
2022-05-26;Showm. (B);ITaX Super Series #80;Zest;ByuN;3;2;5;B;1
2022-05-23;Week. (B);ESL Open Cup #124 Americas;Zest;herO;0;2;3;B;0
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Zest;Ryung;2;0;3;S;1
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Zest;Bunny;0;2;3;S;0
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Zest;soO;2;0;3;S;1
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Zest;BYE;1;0;1;S;1
2022-05-23;Week. (B);ESL Open Cup #124 Americas;Zest;StephenCurry;2;0;3;B;1
2022-05-23;Week. (B);ESL Open Cup #124 Americas;Zest;Yoyo;2;0;3;B;1
2022-05-23;Week. (B);ESL Open Cup #124 Americas;Zest;Oddjob;2;1;3;B;1
2022-05-15;Week. (B);The Chickenman Testa Open #20;Zest;Neeb;2;3;5;B;0
2022-05-15;Week. (B);The Chickenman Testa Open #20;Zest;SpeCial;2;0;3;B;1
2022-05-15;Week. (B);The Chickenman Testa Open #20;Zest;ForJumy;2;0;3;B;1
2022-05-15;Week. (B);The Chickenman Testa Open #20;Zest;manteguinha;2;0;3;B;1
2022-05-12;Showm. (B);ITaX Super Series #78;Zest;Rogue;3;1;5;B;1
2022-05-12;Showm. (B);ITaX Super Series #78;Zest;soO;3;1;5;B;1
2022-05-08;Week. (B);ESL Open Cup #122 Korea;Zest;Cure;1;2;3;B;0
2022-05-08;Week. (B);ESL Open Cup #122 Korea;Zest;Nice;2;0;3;B;1
2022-05-08;Week. (B);ESL Open Cup #122 Korea;Zest;fork;2;0;3;B;1
2022-05-07;B-Tier;Afreeca World 93;Zest;Cure;0;3;5;B;0
2022-05-01;Week. (B);The Chickenman Testa Open #19;Zest;Krystianer;3;1;5;B;1
2022-05-01;Week. (B);The Chickenman Testa Open #19;Zest;Bioice;2;0;3;B;1
2022-05-01;Week. (B);The Chickenman Testa Open #19;Zest;KeeN;2;0;3;B;1
2022-05-01;Week. (B);The Chickenman Testa Open #19;Zest;YoungYakov;2;0;3;B;1
2022-04-28;Showm. (B);SuperExtra SM #5;Zest;trigger;4;2;5;B;1
2022-04-28;B-Tier;WardiTV Spring Fling #3;Zest;goblin;0;2;3;B;0
2022-04-28;B-Tier;WardiTV Spring Fling #3;Zest;Kas;2;0;3;B;1
2022-04-28;B-Tier;WardiTV Spring Fling #3;Zest;Bioice;2;0;3;B;1
2022-04-27;B-Tier;WardiTV Spring Fling #2;Zest;Krystianer;3;2;5;B;1
2022-04-27;Showm. (B);Alpha Pro Series: 2022 Show Matches - Elite;Zest;ByuN;4;1;5;B;1
2022-04-27;B-Tier;WardiTV Spring Fling #2;Zest;goblin;2;1;3;B;1
2022-04-27;B-Tier;WardiTV Spring Fling #2;Zest;BattleB;2;1;3;B;1
2022-04-27;B-Tier;WardiTV Spring Fling #2;Zest;HolyHit;2;0;3;B;1
2022-04-25;Week. (B);ESL Open Cup #120 Americas;Zest;ByuN;1;3;5;B;0
2022-04-25;Week. (B);ESL Open Cup #120 Americas;Zest;SpeCial;2;1;3;B;1
2022-04-26;Week. (B);ESL Open Cup #120 Americas;Zest;Gerald;2;0;3;B;1
2022-04-25;Week. (B);Goodgame Cup #22;Zest;Dream;2;3;5;B;0
2022-04-25;Week. (B);Goodgame Cup #22;Zest;ByuN;3;2;5;B;1
2022-04-25;Week. (B);ESL Open Cup #120 Americas;Zest;Krystianer;2;0;3;B;1
2022-04-25;Week. (B);ESL Open Cup #120 Americas;Zest;Bioice;2;0;3;B;1
2022-04-20;Showm. (B);Alpha Pro Series: 2022 Show Matches - Elite;Zest;TIME;4;1;5;B;1
2022-04-19;Qual. (A);KoB3 KR Qualifiers - Bracket;Zest;Classic;1;2;3;A;0
2022-04-17;Week. (B);ESL Open Cup #119 Korea;Zest;GuMiho;1;2;3;B;0
2022-04-15;Week. (B);Alpha X Series Special #23;Zest;Solar;1;3;5;B;0
2022-04-15;Week. (B);Alpha X Series Special #23;Zest;GuMiho;3;0;5;B;1
2022-04-13;Mon. (B);OlimoLeague Invitational #12;Zest;SpeCial;4;1;5;B;1
2022-04-13;Mon. (B);OlimoLeague Invitational #12;Zest;Armani;3;2;5;B;1
2022-04-12;Qual. (A);KoB3 KR Qualifiers - Bracket;Zest;Classic;0;2;3;A;0
2022-04-12;Qual. (A);KoB3 KR Qualifiers - Bracket;Zest;Cure;1;2;3;A;0
2022-04-12;Qual. (A);KoB3 KR Qualifiers - Bracket;Zest;Creator;2;0;3;A;1
2022-04-12;Qual. (A);KoB3 KR Qualifiers - Bracket;Zest;Nice;2;0;3;A;1
2022-04-11;B-Tier;Afreeca World 91;Zest;Solar;2;3;5;B;0
2022-03-24;S-Tier;2022 GSL S1: Code S - GS 1 Group B;Zest;Ryung;1;2;3;S;0
2022-03-24;S-Tier;2022 GSL S1: Code S - GS 1 Group B;Zest;Armani;2;0;3;S;1
2022-03-24;S-Tier;2022 GSL S1: Code S - GS 1 Group B;Zest;Ryung;0;2;3;S;0
2022-03-15;Week. (B);ESL Open Cup #114 Americas;Zest;MaxPax;1;3;5;B;0
2022-03-15;Week. (B);ESL Open Cup #114 Americas;Zest;GuMiho;2;1;3;B;1
2022-03-14;Week. (B);ESL Open Cup #114 Americas;Zest;Demi;2;0;3;B;1
2022-03-14;Week. (B);ESL Open Cup #114 Americas;Zest;Golden;2;0;3;B;1
2022-03-14;Week. (B);ESL Open Cup #114 Americas;Zest;Sonic;2;0;3;B;1
2022-03-13;Week. (B);ESL Open Cup #114 Korea;Zest;Bistork;0;2;3;B;0
2022-02-25;S-Tier;IEM Katowice 2022 - Group C;Zest;Lambo;1;2;3;S;0
2022-02-25;S-Tier;IEM Katowice 2022 - Group C;Zest;Bunny;2;0;3;S;1
2022-02-25;S-Tier;IEM Katowice 2022 - Group C;Zest;Astrea;2;0;3;S;1
2022-02-25;S-Tier;IEM Katowice 2022 - Group C;Zest;HeRoMaRinE;0;2;3;S;0
2022-02-25;S-Tier;IEM Katowice 2022 - Group C;Zest;Trap;1;2;3;S;0
2022-02-20;Week. (B);ESL Open Cup #111 Korea;Zest;NightMare;0;2;3;B;0
2022-02-20;Week. (B);ESL Open Cup #111 Korea;Zest;TRUE;2;0;3;B;1
2022-02-14;Week. (B);ESL Open Cup #110 Americas;Zest;MaxPax;1;3;5;B;0
2022-02-14;Week. (B);ESL Open Cup #110 Americas;Zest;Gerald;3;0;5;B;1
2022-02-14;Week. (B);ESL Open Cup #110 Americas;Zest;CuKu;2;0;3;B;1
2022-02-14;Week. (B);ESL Open Cup #110 Americas;Zest;Jason;2;0;3;B;1
2022-02-14;Week. (B);ESL Open Cup #110 Americas;Zest;Bumbz;2;0;3;B;1
2022-02-13;Week. (B);ESL Open Cup #110 Korea;Zest;GuMiho;3;2;5;B;1
2022-02-13;Week. (B);ESL Open Cup #110 Korea;Zest;Astrea;3;0;5;B;1
2022-02-13;Week. (B);ESL Open Cup #110 Korea;Zest;trigger;2;0;3;B;1
2022-02-13;Week. (B);ESL Open Cup #110 Korea;Zest;fork;2;0;3;B;1
2022-01-31;Week. (B);ESL Open Cup #108 Americas;Zest;MaxPax;3;0;5;B;1
2022-01-31;Week. (B);ESL Open Cup #108 Americas;Zest;ByuN;3;1;5;B;1
2022-01-31;Week. (B);ESL Open Cup #108 Americas;Zest;Rattata;2;0;3;B;1
