date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2020-11-20;B-Tier;Free TON League;ZipperTheFly;DIMAGA;0;2;3;B;0
2020-11-09;Week. (B);ESL Open Cup #44 Europe;ZipperTheFly;MaNa;0;2;3;B;0
2020-11-09;Week. (B);ESL Open Cup #44 Europe;ZipperTheFly;goblin;2;1;3;B;1
2020-11-02;Week. (B);ESL Open Cup #43 Europe;ZipperTheFly;MaNa;0;2;3;B;0
2020-10-25;Week. (C);SCR Cup #3;ZipperTheFly;JEROS;0;2;3;C;0
2020-10-25;Mon. (B);King of CIS: October 2020;ZipperTheFly;GeNieS;0;1;1;B;0
2020-10-22;Week. (C);Cock of the Walk #33;ZipperTheFly;Krystianer;0;2;3;C;0
2020-10-19;Week. (B);ESL Open Cup #41 Europe;ZipperTheFly;Harstem;0;2;3;B;0
2020-10-18;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;ZipperTheFly;Krystianer;2;3;5;S;0
2020-10-18;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;ZipperTheFly;FightingFrog;2;0;3;S;1
2020-10-18;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;ZipperTheFly;KingCobra;2;0;3;S;1
2020-10-17;Week. (C);REGENERATE Open Weekly Cup #94;ZipperTheFly;Bly;0;2;3;C;0
2020-10-14;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;ZipperTheFly;Denver;1;2;3;S;0
2020-10-10;Week. (C);REGENERATE Open Weekly Cup #93;ZipperTheFly;Vanya;0;2;3;C;0
2020-10-10;Week. (C);REGENERATE Open Weekly Cup #93;ZipperTheFly;RAARKA;2;0;3;C;1
2020-10-04;Week. (C);PassionCraft Sunday Showdown #31;ZipperTheFly;Vanya;0;2;3;C;0
2020-10-04;Week. (C);PassionCraft Sunday Showdown #31;ZipperTheFly;BYE;1;0;1;C;1
2020-10-02;Week. (C);IndyK Crew Weekly Cup #33;ZipperTheFly;Vanya;0;2;3;C;0
2020-09-05;Week. (C);REGENERATE Open Weekly Cup #89;ZipperTheFly;YoungYakov;0;2;3;C;0
2020-09-05;Week. (C);REGENERATE Open Weekly Cup #89;ZipperTheFly;ForJumy;2;1;3;C;1
2020-08-31;Week. (B);ESL Open Cup #34 Europe;ZipperTheFly;Clem;0;2;3;B;0
2020-08-30;Mon. (B);King of CIS: August 2020;ZipperTheFly;Bly;0;1;1;B;0
2020-08-29;Week. (C);REGENERATE Open Weekly Cup #88;ZipperTheFly;Minatoeh;1;2;3;C;0
2020-08-29;Week. (C);REGENERATE Open Weekly Cup #88;ZipperTheFly;Shame;2;0;3;C;1
2020-08-23;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;ZipperTheFly;SortOf;0;2;3;S;0
2020-08-21;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;ZipperTheFly;SKillous;0;2;3;S;0
2020-08-21;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;ZipperTheFly;Rom;2;1;3;S;1
2020-08-18;Showm. (C);Minatoeh vs ZipperTheFly Bo69;ZipperTheFly;Minatoeh;24;35;37;C;0
2020-08-08;Week. (C);REGENERATE Open Weekly Cup #85;ZipperTheFly;AqueroN;0;2;3;C;0
2020-08-08;Week. (C);REGENERATE Open Weekly Cup #85;ZipperTheFly;Dobro;2;0;3;C;1
2020-08-01;Week. (C);REGENERATE Open Weekly Cup #84;ZipperTheFly;AqueroN;1;2;3;C;0
2020-08-01;Week. (C);REGENERATE Open Weekly Cup #84;ZipperTheFly;JEROS;1;0;1;C;1
2020-07-31;Week. (C);IndyK Crew Weekly Cup #26;ZipperTheFly;Brat_OK;0;2;3;C;0
2020-07-26;Mon. (B);King of CIS: July 2020;ZipperTheFly;SKillous;0;1;1;B;0
2020-07-25;B-Tier;eScoutecy's Cannon Rush Cup #1;ZipperTheFly;Gerald;0;2;3;B;0
2020-07-25;B-Tier;eScoutecy's Cannon Rush Cup #1;ZipperTheFly;Ziomek;2;0;3;B;1
2020-07-25;B-Tier;eScoutecy's Cannon Rush Cup #1;ZipperTheFly;PseudoSlug;2;0;3;B;1
2020-07-25;B-Tier;eScoutecy's Cannon Rush Cup #1;ZipperTheFly;Gerald;0;2;3;B;0
2020-07-20;Week. (B);ESL Open Cup #28 Europe;ZipperTheFly;Bly;0;2;3;B;0
2020-07-18;Qual. (B);eScoutecy's Cannon Rush Cup #1: Qualifiers - Bracket;ZipperTheFly;Kas;3;0;5;B;1
2020-07-18;Qual. (B);eScoutecy's Cannon Rush Cup #1: Qualifiers - Bracket;ZipperTheFly;Snoxtar;3;2;5;B;1
2020-07-18;Qual. (B);eScoutecy's Cannon Rush Cup #1: Qualifiers - Bracket;ZipperTheFly;Kas;0;2;3;B;0
2020-07-16;Week. (C);Cock of the Walk #19;ZipperTheFly;Brat_OK;1;2;3;C;0
2020-06-28;Mon. (B);King of CIS: June 2020;ZipperTheFly;Bee;0;1;1;B;0
2020-06-27;B-Tier;Ukrainian Stars - Playoffs;ZipperTheFly;Bly;0;3;5;B;0
2020-06-21;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;ZipperTheFly;HolyHit;1;2;3;S;0
2020-06-20;B-Tier;Ukrainian Stars - Group D;ZipperTheFly;PhysSci;2;0;3;B;1
2020-06-20;B-Tier;Ukrainian Stars - Group D;ZipperTheFly;Awers;1;2;3;B;0
2020-06-20;B-Tier;Ukrainian Stars - Group D;ZipperTheFly;PhysSci;2;0;3;B;1
2020-06-19;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;ZipperTheFly;BlueCheese;1;2;3;S;0
2020-06-17;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;ZipperTheFly;souL;0;2;3;S;0
2020-06-17;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;ZipperTheFly;Bee;2;1;3;S;1
2020-06-13;Week. (C);REGENERATE Open Weekly Cup #79;ZipperTheFly;Mixu;0;2;3;C;0
2020-06-13;Week. (C);REGENERATE Open Weekly Cup #79;ZipperTheFly;control;1;0;1;C;1
2020-06-06;Week. (C);REGENERATE Open Weekly Cup #78;ZipperTheFly;Krystianer;0;2;3;C;0
2020-06-06;Week. (C);REGENERATE Open Weekly Cup #78;ZipperTheFly;Zphir;2;0;3;C;1
2020-05-31;Mon. (B);King of CIS: May 2020;ZipperTheFly;Hellraiser;0;1;1;B;0
2020-05-30;Week. (C);REGENERATE Open Weekly Cup #77;ZipperTheFly;Kas;0;2;3;C;0
2020-05-30;Week. (C);REGENERATE Open Weekly Cup #77;ZipperTheFly;Awers;2;0;3;C;1
2020-05-30;Week. (C);REGENERATE Open Weekly Cup #77;ZipperTheFly;Exostriker;2;0;3;C;1
2020-05-22;Week. (C);IndyK Crew Weekly Cup #17;ZipperTheFly;MaxPax;0;2;3;C;0
2020-05-22;Week. (C);IndyK Crew Weekly Cup #17;ZipperTheFly;BluE;2;0;3;C;1
2020-05-17;Week. (C);RFCS 1v1 #40;ZipperTheFly;Minatoeh;1;2;3;C;0
2020-05-09;Week. (C);REGENERATE Open Weekly Cup #74;ZipperTheFly;Kas;0;2;3;C;0
2020-05-09;Week. (C);REGENERATE Open Weekly Cup #74;ZipperTheFly;SlyCrab;2;0;3;C;1
2020-05-06;Week. (B);Red Bull Xel'Naga Finest #5;ZipperTheFly;Bee;1;2;3;B;0
2020-05-03;Week. (B);ESL Open Cup #17 Europe;ZipperTheFly;Lambo;0;2;3;B;0
2020-05-03;Week. (C);RFCS 1v1 #39;ZipperTheFly;Milka;3;0;5;C;1
2020-05-03;Week. (C);RFCS 1v1 #39;ZipperTheFly;YoungYakov;2;0;3;C;1
2020-05-03;Week. (C);RFCS 1v1 #39;ZipperTheFly;MasterVasya;2;0;3;C;1
2020-05-03;Week. (C);RFCS 1v1 #39;ZipperTheFly;Bee;1;0;1;C;1
2020-05-02;Week. (C);REGENERATE Open Weekly Cup #73;ZipperTheFly;Vanya;1;3;5;C;0
