date;player;player_race;player_score;player_id;opponent;opponent_race;opponent_score;opponent_id;score_match;tier;url;tournament
01/18/2026;Rogue;Z;2;1662;Oliveira;T;0;10115;2–0;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/18/2026;MMA;T;0;28;DRG;Z;2;4;0–2;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/18/2026;herO;P;4;233;Reynor;Z;3;5414;4–3;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/18/2026;Clem;T;2;5878;Reynor;Z;3;5414;2–3;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/18/2026;herO;P;3;233;Solar;Z;1;1793;3–1;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/17/2026;sOs;P;2;110;Scarlett;Z;0;23;2–0;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/17/2026;INnoVation;T;2;48;soO;Z;0;125;2–0;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/17/2026;Reynor;Z;3;5414;Maru;T;2;49;3–2;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/17/2026;Classic;P;1;186;Clem;T;3;5878;1–3;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/17/2026;Cure;T;0;1665;Solar;Z;3;1793;0–3;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
01/17/2026;Serral;Z;0;485;herO;P;3;233;0–3;S;http://aligulac.com/results/events/156009;https://liquipedia.net/starcraft2/Thunderfire_SC2_Allstar/2025
07/25/2025;Serral;Z;5;485;Classic;P;2;186;5–2;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/25/2025;Cure;T;4;1665;Solar;Z;0;1793;4–0;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/25/2025;Solar;Z;1;1793;Classic;P;4;186;1–4;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/25/2025;Serral;Z;4;485;Cure;T;0;1665;4–0;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;Serral;Z;3;485;Reynor;Z;2;5414;3–2;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;Clem;T;0;5878;Classic;P;3;186;0–3;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;herO;P;0;233;Solar;Z;3;1793;0–3;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;Maru;T;1;49;Cure;T;3;1665;1–3;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;Cure;T;3;1665;Rogue;Z;0;1662;3–0;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;Classic;P;3;186;ShoWTimE;P;0;2170;3–0;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;Solar;Z;3;1793;SHIN;Z;2;117;3–2;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/24/2025;Reynor;Z;3;5414;Zoun;P;2;2053;3–2;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/23/2025;Rogue;Z;3;1662;HeroMarine;T;0;258;3–0;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
07/23/2025;Cyan;P;0;7956;ShoWTimE;P;3;2170;0–3;S;http://aligulac.com/results/events/152545;https://liquipedia.net/starcraft2/Esports_World_Cup/2025
