date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-09-26;Qual. (S);DHM Winter: EU Qualifiers - Bracket;kiyj;SortOf;2;3;5;S;0
2021-09-26;Qual. (S);DHM Winter: EU Qualifiers - Bracket;kiyj;Bee;2;1;3;S;1
2021-09-26;Qual. (S);DHM Winter: EU Qualifiers - Bracket;kiyj;Bly;1;2;3;S;0
2021-09-22;Qual. (S);DHM Winter: EU Qualifiers - Bracket;kiyj;Aristori;3;0;5;S;1
2021-09-22;Qual. (S);DHM Winter: EU Qualifiers - Bracket;kiyj;Nanaki;2;1;3;S;1
2021-08-04;Week. (C);Queen's Gambit #11;kiyj;Hopt;1;2;3;C;0
2021-08-02;Week. (B);ESL Open Cup #82 Europe;kiyj;goblin;0;2;3;B;0
2021-07-30;Week. (B);OSC King of the Hill Weekly #73;kiyj;Bee;0;1;1;B;0
2021-07-30;Week. (B);OSC King of the Hill Weekly #73;kiyj;SKillous;1;0;1;B;1
2021-07-29;Week. (C);Cock of the Walk #67;kiyj;ArT;0;2;3;C;0
2021-07-21;Qual. (S);DHM Fall: EU Qualifiers - Bracket;kiyj;Lilbow;1;3;5;S;0
2021-07-21;Qual. (S);DHM Fall: EU Qualifiers - Bracket;kiyj;Hopt;2;1;3;S;1
2021-07-10;Biw. (C);CSO Cup #22;kiyj;Krystianer;2;3;5;C;0
2021-07-10;Biw. (C);CSO Cup #22;kiyj;Nicoract;2;0;3;C;1
2021-07-10;Biw. (C);CSO Cup #22;kiyj;Hopt;2;0;3;C;1
2021-05-16;Qual. (S);DHM Summer: EU Qualifiers - Bracket;kiyj;Strange;0;3;5;S;0
2021-05-16;Qual. (S);DHM Summer: EU Qualifiers - Bracket;kiyj;Ziomek;2;0;3;S;1
2021-05-16;Qual. (S);DHM Summer: EU Qualifiers - Bracket;kiyj;GunGFuBanDa;1;2;3;S;0
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;kiyj;Marsman;3;0;5;S;1
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;kiyj;Lilbow;2;0;3;S;1
2021-04-21;Week. (B);OSC King of the Hill Weekly #66;kiyj;Bee;0;1;1;B;0
2021-04-09;Week. (B);OSC King of the Hill Weekly #64;kiyj;Bee;0;1;1;B;0
2021-04-08;Week. (B);OSC King of the Hill Weekly #64;kiyj;Namshar;1;0;1;B;1
2021-04-04;Week. (B);OSC King of the Hill Weekly #63;kiyj;Mixu;0;1;1;B;0
2021-04-04;Week. (B);OSC King of the Hill Weekly #63;kiyj;Arrogfire;1;0;1;B;1
2021-03-28;Week. (B);OSC King of the Hill Weekly #62;kiyj;arrogfire;0;1;1;B;0
2021-03-28;Week. (B);OSC King of the Hill Weekly #62;kiyj;YoungYakov;1;0;1;B;1
2021-03-23;Week. (C);Asgard Cup #45;kiyj;ART;2;0;3;C;1
2021-03-23;Week. (C);Asgard Cup #45;kiyj;EnigmA;0;2;3;C;0
2021-03-23;Week. (C);Asgard Cup #45;kiyj;Matvey;2;1;3;C;1
2021-03-20;Week. (B);OSC King of the Hill Weekly #61;kiyj;MaNa;0;1;1;B;0
2021-03-13;Week. (B);OSC King of the Hill Weekly #60;kiyj;MeomaikA;0;1;1;B;0
2021-03-13;Week. (B);OSC King of the Hill Weekly #60;kiyj;ArT;1;0;1;B;1
2021-03-12;Week. (C);Asgard Cup #43;kiyj;Nicoract;0;1;1;C;0
2021-03-12;Week. (C);Asgard Cup #43;kiyj;MindelVK;1;2;3;C;0
2021-03-12;Week. (C);Asgard Cup #43;kiyj;Matvey;2;1;3;C;1
2021-03-11;Week. (C);Cock of the Walk #49;kiyj;Gerald;0;2;3;C;0
2021-03-11;Week. (C);Cock of the Walk #49;kiyj;Erik;2;0;3;C;1
2021-02-27;Week. (B);OSC King of the Hill Weekly #58;kiyj;MaxPax;0;1;1;B;0
2021-02-21;Biw. (C);OSC Elite SC2 Cup #13;kiyj;Gerald;0;1;1;C;0
2021-02-21;Biw. (C);OSC Elite SC2 Cup #13;kiyj;Lillekanin;2;1;3;C;1
2021-02-21;Mon. (C);Black Ice Monthly Open #7;kiyj;Hopt;1;3;5;C;0
2021-02-21;Biw. (C);OSC Elite SC2 Cup #13;kiyj;Krystianer;0;2;3;C;0
2021-02-21;Mon. (C);Black Ice Monthly Open #7;kiyj;Lucasdart;2;0;3;C;1
2021-02-21;Mon. (C);Black Ice Monthly Open #7;kiyj;Bekzhan;2;0;3;C;1
2021-02-21;Biw. (C);OSC Elite SC2 Cup #13;kiyj;ForJumy;2;1;3;C;1
2021-02-19;Biw. (C);Team GP Cup #1;kiyj;PartinG;1;3;5;C;0
2021-02-19;Biw. (C);Team GP Cup #1;kiyj;Chabby;2;1;3;C;1
2021-02-19;Biw. (C);Team GP Cup #1;kiyj;TAiLS;2;0;3;C;1
2021-02-19;Biw. (C);Team GP Cup #1;kiyj;NihonGo;2;0;3;C;1
2021-02-18;Week. (C);Asgard Cup #42;kiyj;Ashbringer;1;2;3;C;0
2021-02-14;B-Tier;2zerg1cup;kiyj;Snoxtar;3;2;5;B;1
2021-02-14;B-Tier;2zerg1cup;kiyj;Miszu;2;0;3;B;1
2021-02-14;B-Tier;2zerg1cup;kiyj;starkiller;2;1;3;B;1
2021-02-14;B-Tier;2zerg1cup;kiyj;Sareth;2;0;3;B;1
2021-02-13;Biw. (C);CSO Cup #12;kiyj;Hopt;1;2;3;C;0
2021-02-12;Week. (B);OSC King of the Hill Weekly #57;kiyj;Vanya;0;1;1;B;0
2021-02-12;Week. (B);OSC King of the Hill Weekly #57;kiyj;Marsman;1;0;1;B;1
2021-02-12;Week. (B);OSC King of the Hill Weekly #57;kiyj;Spatz;1;0;1;B;1
2021-02-11;Week. (C);Asgard Cup #41;kiyj;Nicoract;3;0;5;C;1
2021-02-11;Week. (C);Asgard Cup #41;kiyj;aelliot;2;0;3;C;1
2021-02-11;Week. (C);Asgard Cup #41;kiyj;Friend;2;1;3;C;1
2021-02-04;Week. (B);OSC King of the Hill Weekly #56;kiyj;Arrogfire;0;1;1;B;0
2021-02-04;Week. (B);OSC King of the Hill Weekly #56;kiyj;Snoxtar;1;0;1;B;1
2021-02-04;Week. (C);Asgard Cup #40;kiyj;MODEUS;1;2;3;C;0
2021-01-30;Week. (B);OSC King of the Hill Weekly #55;kiyj;Krystianer;0;1;1;B;0
2021-01-30;Biw. (C);CSO Cup #11;kiyj;MODEUS;1;2;3;C;0
2021-01-30;Biw. (C);CSO Cup #11;kiyj;CiZzyX;2;0;3;C;1
2021-01-26;Mon. (C);SCVRush All-In #2;kiyj;Hopt;1;2;3;C;0
2021-01-26;Mon. (C);SCVRush All-In #2;kiyj;Mixu;2;0;3;C;1
2021-01-23;Week. (B);OSC King of the Hill Weekly #54;kiyj;ArT;0;1;1;B;0
2021-01-21;Week. (C);Cock of the Walk #42;kiyj;MaxPax;0;3;5;C;0
2021-01-21;Week. (C);Cock of the Walk #42;kiyj;Hopt;2;0;3;C;1
2021-01-21;Week. (C);Cock of the Walk #42;kiyj;Bee;2;1;3;C;1
2021-01-21;Week. (C);Cock of the Walk #42;kiyj;Sated;2;0;3;C;1
2021-01-03;A-Tier;OSC Championship Season 8 - Bracket;kiyj;ArT;0;2;3;A;0
2021-01-03;A-Tier;OSC Championship Season 8 - Bracket;kiyj;Vivid;2;0;3;A;1
2021-01-03;A-Tier;OSC Championship Season 8 - Bracket;kiyj;SouLeer;0;2;3;A;0
2021-01-03;A-Tier;OSC Championship Season 8 - Bracket;kiyj;Arrogfire;2;0;3;A;1
2021-01-02;A-Tier;OSC Championship Season 8 - Group A;kiyj;Lillekanin;1;3;5;A;0
