date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2020-05-09;Week. (C);Grand Platypus Open #29;nOtoRioUsPiG;GogojOey;0;2;3;C;0
2020-05-09;Week. (C);Grand Platypus Open #29;nOtoRioUsPiG;NUKS;2;0;3;C;1
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Vindicta;0;2;3;B;0
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Azure;2;1;3;B;1
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Future;0;3;5;B;0
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Seither;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Blysk;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Chase;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Pezz;2;1;3;B;1
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Vindicta;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Probe;0;2;3;B;0
2100-01-01;A-Tier;2019 WCS Summer: Oceania, SEA Qualifier - Playoffs;nOtoRioUsPiG;Pezz;0;3;5;A;0
2020-05-09;Week. (C);Grand Platypus Open #29;nOtoRioUsPiG;GogojOey;0;2;3;C;0
2020-05-09;Week. (C);Grand Platypus Open #29;nOtoRioUsPiG;NUKS;2;0;3;C;1
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Vindicta;0;2;3;B;0
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Azure;2;1;3;B;1
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Future;0;3;5;B;0
2100-01-01;B-Tier;AusCraft - Playoffs;nOtoRioUsPiG;Seither;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Blysk;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Chase;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Pezz;2;1;3;B;1
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Vindicta;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;nOtoRioUsPiG;Probe;0;2;3;B;0
2100-01-01;A-Tier;2019 WCS Summer: Oceania, SEA Qualifier - Playoffs;nOtoRioUsPiG;Pezz;0;3;5;A;0
2020-05-09;Week. (C);Grand Platypus Open #29;GogojOey;nOtoRioUsPiG;2;0;3;C;1
2020-05-09;Week. (C);Grand Platypus Open #29;NUKS;nOtoRioUsPiG;0;2;3;C;0
2100-01-01;B-Tier;AusCraft - Playoffs;Vindicta;nOtoRioUsPiG;2;0;3;B;1
2100-01-01;B-Tier;AusCraft - Playoffs;Azure;nOtoRioUsPiG;1;2;3;B;0
2100-01-01;B-Tier;AusCraft - Playoffs;Future;nOtoRioUsPiG;3;0;5;B;1
2100-01-01;B-Tier;AusCraft - Playoffs;Seither;nOtoRioUsPiG;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Blysk;nOtoRioUsPiG;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;Chase;nOtoRioUsPiG;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Pezz;nOtoRioUsPiG;1;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Vindicta;nOtoRioUsPiG;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;Probe;nOtoRioUsPiG;2;0;3;B;1
2100-01-01;A-Tier;2019 WCS Summer: Oceania, SEA Qualifier - Playoffs;Pezz;nOtoRioUsPiG;3;0;5;A;1
2020-05-09;Week. (C);Grand Platypus Open #29;GogojOey;nOtoRioUsPiG;2;0;3;C;1
2020-05-09;Week. (C);Grand Platypus Open #29;NUKS;nOtoRioUsPiG;0;2;3;C;0
2100-01-01;B-Tier;AusCraft - Playoffs;Vindicta;nOtoRioUsPiG;2;0;3;B;1
2100-01-01;B-Tier;AusCraft - Playoffs;Azure;nOtoRioUsPiG;1;2;3;B;0
2100-01-01;B-Tier;AusCraft - Playoffs;Future;nOtoRioUsPiG;3;0;5;B;1
2100-01-01;B-Tier;AusCraft - Playoffs;Seither;nOtoRioUsPiG;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Blysk;nOtoRioUsPiG;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;Chase;nOtoRioUsPiG;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Pezz;nOtoRioUsPiG;1;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Vindicta;nOtoRioUsPiG;2;0;3;B;1
2020-01-10;B-Tier;AusCraft -;Probe;nOtoRioUsPiG;2;0;3;B;1
2100-01-01;A-Tier;2019 WCS Summer: Oceania, SEA Qualifier - Playoffs;Pezz;nOtoRioUsPiG;3;0;5;A;1
