date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-10-29;B-Tier;PassionCraft Open S15 - Group G;niceq;NaJi;0;2;3;B;0
2022-10-29;B-Tier;PassionCraft Open S15 - Group G;niceq;Terxel;1;2;3;B;0
2022-10-29;B-Tier;PassionCraft Open S15 - Group G;niceq;DeepThought;2;0;3;B;1
2022-10-22;B-Tier;PassionCraft Open S15 - Group G;niceq;Silwercrow;1;2;3;B;0
2022-10-22;B-Tier;PassionCraft Open S15 - Group G;niceq;Funcio;2;0;3;B;1
2022-10-22;B-Tier;2022 ESPOT SC2 Circuit: Winter - Group D;niceq;Aristori;0;2;3;B;0
2022-10-22;B-Tier;2022 ESPOT SC2 Circuit: Winter - Group D;niceq;HaPe;2;0;3;B;1
2022-10-22;B-Tier;2022 ESPOT SC2 Circuit: Winter - Group D;niceq;Rail;0;2;3;B;0
2022-10-15;B-Tier;PassionCraft Open S15 - Group G;niceq;jumanjii;1;0;1;B;1
2022-10-15;B-Tier;PassionCraft Open S15 - Group G;niceq;WaveCaptain;2;0;3;B;1
2022-09-24;Qual. (B);2022 ESPOT SC2 Circuit: Winter - Qualifier #3;niceq;HaPe;1;2;3;B;0
2022-09-24;Qual. (B);2022 ESPOT SC2 Circuit: Winter - Qualifier #3;niceq;Fanatig;0;2;3;B;0
2022-09-24;Qual. (B);2022 ESPOT SC2 Circuit: Winter - Qualifier #3;niceq;MatiKlok;2;1;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group E;niceq;NoMercy;2;0;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group E;niceq;Vavin;2;0;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group E;niceq;Robar;1;2;3;B;0
2020-09-19;B-Tier;PassionCraft Open S13 - Group E;niceq;Suhinho;2;0;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group E;niceq;MoltenSC;2;1;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group E;niceq;Varys;0;2;3;B;0
2020-09-19;B-Tier;PassionCraft Open S13 - Group E;niceq;Shoes;2;1;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Playoffs;niceq;Rhoust;1;3;5;B;0
2020-09-19;B-Tier;PassionCraft Open S13 - Playoffs;niceq;Cereal;3;2;5;B;1
2020-05-09;B-Tier;PassionCraft Open S12 - Playoffs;niceq;SommY;1;3;5;B;0
