date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-11-01;A-Tier;SC4ALL: StarCraft II - Group B;starkiller;Silky;0;2;3;A;0
2025-11-01;A-Tier;SC4ALL: StarCraft II - Group B;starkiller;trigger;0;2;3;A;0
2025-08-12;Week. (B);PiGosaur Cup #44;starkiller;Greenert;1;2;3;B;0
2025-08-04;B-Tier;Rotti's All Random #2;starkiller;Greenert;0;2;3;B;0
2025-07-26;B-Tier;Patches' Patch Clash #1;starkiller;Shameless;1;2;3;B;0
2025-07-12;Showm. (B);Kirktown RR #3;starkiller;SpeCial;0;3;5;B;0
2025-07-01;B-Tier;Team Gosu Power Rankings #11;starkiller;Maplez;2;4;5;B;0
2025-07-01;B-Tier;Team Gosu Power Rankings #11;starkiller;Sammyuel;3;0;5;B;1
2025-07-01;B-Tier;Team Gosu Power Rankings #11;starkiller;MeomaikA;1;0;1;B;1
2025-07-01;B-Tier;Team Gosu Power Rankings #11;starkiller;Greenert;3;2;5;B;1
2025-06-15;A-Tier;Cheeseadelphia 2025 - Playoffs;starkiller;Future;1;3;5;A;0
2025-04-11;Showm. (B);Basilisk Big Brain Bouts #93 - Bouts;starkiller;eGGz;2;3;5;B;0
2024-12-07;B-Tier;Cheeseadelphia Grand Finals - Playoffs;starkiller;jheffe;0;3;5;B;0
2024-07-14;B-Tier;Cheeseadelphia Summer LAN - Playoffs;starkiller;Dolan;1;3;5;B;0
2024-07-13;B-Tier;Cheeseadelphia Summer LAN - Playoffs;starkiller;Creature;2;1;3;B;1
2024-07-01;Week. (B);ESL Open Cup #234 Americas;starkiller;ByuN;0;2;3;B;0
2024-07-01;Week. (B);ESL Open Cup #234 Americas;starkiller;shinobu;2;1;3;B;1
2024-07-01;Week. (B);ESL Open Cup #234 Americas;starkiller;AppleJuice;2;0;3;B;1
2024-04-06;Qual. (A);ESL Spring: Americas Qualifiers - Bracket;starkiller;Pacomike;0;2;3;A;0
2024-03-23;B-Tier;Cheeseadelphia Spring LAN - Playoffs;starkiller;PiLiPiLi;0;2;3;B;0
2024-02-25;Week. (C);Sparkling Tuna Cup #41;starkiller;MindelVK;0;2;3;C;0
2023-05-04;B-Tier;Funky Map 6K Open #1;starkiller;Demi;1;2;3;B;0
2022-10-22;A-Tier;PSISTORM Cup 9 - Playoffs;starkiller;Rob;0;2;3;A;0
2022-10-22;A-Tier;PSISTORM Cup 9 - Playoffs;starkiller;MachoTaco;2;0;3;A;1
2022-10-22;A-Tier;PSISTORM Cup 9 - Playoffs;starkiller;Epic;0;2;3;A;0
2022-06-08;B-Tier;PiG's Random Race;starkiller;MaxPax;1;3;5;B;0
2022-06-08;B-Tier;PiG's Random Race;starkiller;Reaper;2;0;3;B;1
2022-06-08;B-Tier;PiG's Random Race;starkiller;ListenHereMoose;2;1;3;B;1
2022-05-15;B-Tier;AlphaSDC Cup #3 - Group B;starkiller;Vindicta;1;2;3;B;0
2022-05-15;B-Tier;AlphaSDC Cup #3 - Group B;starkiller;trigger;0;2;3;B;0
2022-05-04;Qual. (A);DHM Valencia: NA Qualifiers - Bracket;starkiller;Future;0;3;5;A;0
2022-05-03;Qual. (A);DHM Valencia: NA Qualifiers - Bracket;starkiller;Meowerdoom;2;1;3;A;1
2022-04-03;Week. (B);The Chickenman Testa Open #15;starkiller;Ziomek;0;2;3;B;0
2022-03-18;B-Tier;"PiG's ""Begone Voidrays!""";starkiller;Ukko;1;2;3;B;0
2022-02-25;Mon. (C);AlphaSDC Cup #1;starkiller;Vindicta;1;2;3;C;0
2022-02-25;Mon. (C);AlphaSDC Cup #1;starkiller;Shameless;2;1;3;C;1
2022-02-19;Mon. (B);Enter The EchoChamber #1;starkiller;MasterVasya;1;2;3;B;0
2022-02-09;Week. (B);OSC King of the Hill Weekly #87;starkiller;ArT;0;1;1;B;0
2021-12-12;B-Tier;OSC 2021 Super Series, Mid Season Playoffs #3;starkiller;goblin;0;3;5;B;0
2021-12-08;B-Tier;OSC 2021 Super Series, Mid Season Playoffs #3;starkiller;Zest;0;2;3;B;0
2021-11-28;Showm. (B);SDC Show Match Series #6;starkiller;Maplez;5;0;7;B;1
2021-11-27;B-Tier;OSC 2021 Super Series, Mid Season Playoffs #3;starkiller;MeomaikA;2;0;3;B;1
2021-11-21;Qual. (B);OSC 2021 Super Series, Mid Season Playoffs #3: OSCE Members Qualifier #2;starkiller;Ziomek;3;1;5;B;1
2021-11-21;Qual. (B);OSC 2021 Super Series, Mid Season Playoffs #3: OSCE Members Qualifier #2;starkiller;Keiras;2;1;3;B;1
2021-11-07;B-Tier;Stryfe's & Meowerdoom's Blast from the Past;starkiller;Bly;0;2;3;B;0
2021-11-07;B-Tier;Stryfe's & Meowerdoom's Blast from the Past;starkiller;binski;1;0;1;B;1
2021-11-07;B-Tier;Stryfe's & Meowerdoom's Blast from the Past;starkiller;ArT;0;2;3;B;0
2021-11-07;B-Tier;Stryfe's & Meowerdoom's Blast from the Past;starkiller;Parmigiano;2;0;3;B;1
2021-11-06;B-Tier;FilthyRake's WoL Brawl;starkiller;Spirit;0;2;3;B;0
2021-10-31;Mon. (B);Apprentice X Cup #1;starkiller;Ukko;0;2;3;B;0
2021-10-31;Mon. (B);Apprentice X Cup #1;starkiller;DisK;0;2;3;B;0
