date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-12-04;Week. (B);ESL Open Cup #204 Europe;vmgNarra;GunGFuBanDa;0;2;3;B;0
2023-11-20;Week. (B);ESL Open Cup #202 Europe;vmgNarra;Elazer;0;2;3;B;0
2023-11-20;Week. (B);ESL Open Cup #202 Europe;vmgNarra;BabyMarine;2;1;3;B;1
2023-03-18;B-Tier;FLXPWR Cup #1;vmgNarra;Angry;0;3;5;B;0
2023-03-18;B-Tier;FLXPWR Cup #1;vmgNarra;Aristori;2;0;3;B;1
2023-03-18;B-Tier;FLXPWR Cup #1;vmgNarra;Gref;2;1;3;B;1
2023-03-18;B-Tier;FLXPWR Cup #1;vmgNarra;sebesdes;2;0;3;B;1
2023-03-18;B-Tier;FLXPWR Cup #1;vmgNarra;Ashbringer;2;1;3;B;1
2023-02-20;Week. (B);ESL Open Cup #163 Europe;vmgNarra;Mixu;0;2;3;B;0
2022-07-13;B-Tier;maralekos Replay Liga #5 - mRL 1;vmgNarra;VeNTuRe;2;1;3;B;1
2022-07-04;B-Tier;maralekos Replay Liga #5 - mRL 1;vmgNarra;Soon;1;2;3;B;0
2022-06-28;B-Tier;maralekos Replay Liga #5 - mRL 1;vmgNarra;Winckel;0;2;3;B;0
2022-06-20;B-Tier;maralekos Replay Liga #5 - mRL 1;vmgNarra;FrisK;0;2;3;B;0
2022-06-13;B-Tier;maralekos Replay Liga #5 - mRL 1;vmgNarra;Railgan;0;2;3;B;0
2022-05-30;B-Tier;maralekos Replay Liga #5 - mRL 1;vmgNarra;Dronehard;2;1;3;B;1
2022-05-21;B-Tier;maralekos Replay Liga #5 - mRL 1;vmgNarra;Rhoust;0;2;3;B;0
2022-02-22;B-Tier;maralekos Replay Liga #4 - mRL 1;vmgNarra;Rhoust;0;2;3;B;0
2022-02-22;B-Tier;maralekos Replay Liga #4 - mRL 1;vmgNarra;NoMercy;2;0;3;B;1
2022-02-19;B-Tier;maralekos Replay Liga #4 - mRL 1;vmgNarra;Dronehard;2;0;3;B;1
2022-02-12;B-Tier;maralekos Replay Liga #4 - mRL 1;vmgNarra;TralaBoB;2;1;3;B;1
2022-02-05;B-Tier;maralekos Replay Liga #4 - mRL 1;vmgNarra;Neuling;2;0;3;B;1
2022-01-22;B-Tier;maralekos Replay Liga #4 - mRL 1;vmgNarra;Soon;0;2;3;B;0
2021-11-22;Week. (B);ESL Open Cup #98 Europe;vmgNarra;MaNa;0;1;1;B;0
2021-11-01;Week. (B);ESL Open Cup #94 Europe;vmgNarra;MaNa;0;2;3;B;0
2021-10-10;C-Tier;maralekos Replay Liga #3 - mRL 1;vmgNarra;Rhoust;0;2;3;C;0
2021-10-03;C-Tier;maralekos Replay Liga #3 - mRL 1;vmgNarra;Faith;1;2;3;C;0
2021-10-03;C-Tier;maralekos Replay Liga #3 - mRL 1;vmgNarra;Dronehard;2;0;3;C;1
2021-09-26;C-Tier;maralekos Replay Liga #3 - mRL 1;vmgNarra;TralaBoB;2;0;3;C;1
2021-09-19;C-Tier;maralekos Replay Liga #3 - mRL 1;vmgNarra;VeNTuRe;2;1;3;C;1
2021-09-12;C-Tier;maralekos Replay Liga #3 - mRL 1;vmgNarra;MariK;2;0;3;C;1
2021-09-06;C-Tier;maraleCup Germany #5 - Playoffs;vmgNarra;ForJumy;0;3;5;C;0
2021-09-06;C-Tier;maraleCup Germany #5 - Group B;vmgNarra;Aelith;2;1;3;C;1
2021-09-06;C-Tier;maraleCup Germany #5 - Group B;vmgNarra;SharKRippeR;1;2;3;C;0
2021-09-06;C-Tier;maraleCup Germany #5 - Group B;vmgNarra;NoMercy;2;1;3;C;1
2021-09-06;C-Tier;maraleCup Germany #5 - Group B;vmgNarra;saVer;2;0;3;C;1
2021-09-06;C-Tier;maraleCup Germany #5 - Group B;vmgNarra;Neuling;0;2;3;C;0
2021-06-13;C-Tier;maralekos Replay Liga #2 - mRL 1;vmgNarra;Rhoust;1;2;3;C;0
2021-06-06;C-Tier;maralekos Replay Liga #2 - mRL 1;vmgNarra;TralaBoB;2;0;3;C;1
